abbastanza, abbastànza
accordo, accòrdo
addio, addìo
addosso, addòsso
adesso, adèsso
agente, agènte
agli, àgli
aiutare, aiutàre
aiuto, aiùto
alcune, alcùne
alcuni, alcùni
alla, àlla
alle, àlle
allora, allóra
almeno, alméno
altri, àltri
altrimenti, altriménti
altro, àltro
amare, amàre
amico, amìco
amo, àmo
andata, andàta
andato, andàto
anima, ànima
anno, ànno
appena, appéna
arriva, arrìva
arrivare, arrivàre
arrivato, arrivàto
arrivederci, arrivedérci
arrivo, arrìvo
aspetto, aspètto
assolutamente, assolutaménte
attento, attènto
attenzione, attenzióne
attimo, àttimo
avanti, avànti
avuto, avùto
avvocato, avvocàto
bagno, bàgno
bambina, bambìna
bambino, bambìno
bastardo, bastàrdo
bella, bèlla
bere, bére
bisogna, bisógna
bisogno, bisógno
bravo, bràvo
brutto, brùtto
buonanotte, buonanòtte
buonasera, buonaséra
caffè, caffè
calma, càlma
cambiare, cambiàre
cambiato, cambiàto
camera, càmera
cane, càne
canzone, canzóne
capire, capìre
capitano, capitàno
capito, capìto
carino, carìno
caro, càro
caso, càso
cavallo, cavàllo
cazzo, càzzo
cena, céna
cercare, cercàre
cercato, cercàto
certo, cèrto
chiama, chiàma
chiamare, chiamàre
chiamato, chiamàto
chiamo, chiàmo
chiaro, chiàro
chiedere, chièdere
chiesto, chièsto
ciao, ciào
cibo, cìbo
cielo, cièlo
cinema, cìnema
cinque, cìnque
cioè, cioè
circa, cìrca
città, città
colonnello, colonnèllo
colpa, cólpa
comandante, comandànte
come, cóme
compagnia, compagnìa
comunque, comùnque
consiglio, consìglio
continua, contìnua
contro, cóntro
controllo, contròllo
coraggio, coràggio
cosi, così
cosi', così
così, così
credere, crédere
credo, crèdo
Cristo, Crìsto
culo, cùlo
cuore, cuòre
dalla, dàlla
dalle, dàlle
dato, dàto
davanti, davànti
davvero, davvéro
deciso, decìso
degli, dégli
delle, délle
dello, déllo
denaro, denàro
dentro, déntro
detto, détto
diavolo, diàvolo
dica, dìca
dico, dìco–
dieci, dièci
dietro, diètro
difficile, diffìcile
dimenticato, dimenticàto
dio, Dìo
diventare, diventàre
divertente, divertènte
domanda, domànda
domani, domàni
donna, dònna
dopo, dópo, dòpo
dormire, dormìre
dottore, dottóre
dove, dóve
dovuto, dovùto
due, dùe
durante, durànte
ecco, ècco
energia, energìa
entra, éntra
entrambi, entràmbi
entrare, entràre
era, èra
ero, èro
esattamente, esattaménte
esatto, esàtto
faccia, fàccia
facile, fàcile
fame, fàme
fantastico, fantàstico
farò, fàro
fatta, fàtta
fatto, fàtto
favore, favóre
felice, felìce
fermo, férmo
festa, fèsta
figlia, fìglia
figlio, fìglio
finalmente, finalménte
finché, finché
fine, fìne
finire, finìre
finito, finìto
fino, fìno
forse, fórse
fortuna, fortùna
fratello, fratèllo
freddo, fréddo
fretta, frétta
fronte, frónte
futuro, futùro
generale, generàle
genere, gènere
gente, gènte
gentile, gentìle
Gesù, Gesù
giocare, giocàre
giornata, giornàta
giovane, gióvane
giusto, giùsto
già, gìa
glielo, gliélo
grande, grànde
grosso, gròsso
guardare, guardàre
guerra, guèrra
Harry, harry
Henry, hènry
ieri, ièri
importante, importànte
impossibile, impossìbile
incidente, incidènte
incontro, incóntro
incredibile, incredìbile
indietro, indiètro
inglese, inglése
inizio, inìzio
insieme, insième
interessante, interessànte
intorno, intórno
invece, invéce
io, ìo
laggiù, laggiù
lasciato, lasciàto
lavorare, lavoràre
lavoro, lavóro
letto, lètto
libro, lìbro
lontano, lontàno
loro, lóro
madre, màdre
maestro, maèstro
magari, magàri
maggiore, maggióre
mamma, màmma, mammà
mandato, mandàto
mangiare, mangiàre
mani, màni
mare, màre
marito, marìto
matrimonio, matrimònio
mattina, mattìna
meglio, mèglio
mentre, méntre
merda, mèrda
mese, mése
messaggio, messàggio
metti, métti
mia, mìa
mica, mìca
migliore, migliòre
minuto, minùto
mio, mìo
moglie, móglie
molti, mólti
molto, mólto
momento, moménto
mondo, móndo
morire, morìre
morta, mòrta
morte, mòrte
morto, mòrto
mostro, móstro
motivo, motìvo
musica, mùsica
natale, natàle
naturalmente, naturalménte
nave, nàve
neanche, neànche
negli, négli
nella, nélla
nelle, nélle
nello, néllo
nemmeno, nemméno
nessuno, nessùno
niente, niènte
nome, nóme
nostro, nòstro
notte, nòtte
nulla, nùlla
numero, nùmero
nuovo, nuòvo
occhi, òcchi
occhiata, occhiàta
odio, òdio
oggi, òggi
ogni, ógni
okay, okay
oltre, óltre
onore, onóre
ore, öre
ormai, ormài
oro, òro
ospedale, ospedàle
ottimo, òttimo
pace, pàce
padre, pàdre
paese, paése
pagare, pagàre
paio, pàio
papà, pàpa
parlando, parlàndo
parlato, parlàto
parole, parole
partita, partìta
passato, passàto
paura, paùra
pazzo, pàzzo
peccato, peccàto
peggio, pèggio
pena, péna
pensare, pensàre
penso, pènso
perche', perché
perchè, perché
perché, perché
perdere, pèrdere
perfetto, perfètto
permesso, permésso
persona, persóna
pezzo, pèzzo
piacere, piacére
pianeta, pianéta
piccola, pìccola
piccolo, pìccolo
pieno, pièno
pistola, pistòla
piuttosto, piuttòsto
poco, pòco
polizia, polizìa
porta, pòrta
portare, portàre
portato, portàto
porto, pòrto
posizione, posizióne
possibile, possìbile
possibilità, possibilità
posto, pòsto, pósto
potuto, potùto
prego, prègo
prendi, prèndi
presidente, presidènte
presto, prèsto
prigione, prigióne
prima, prìma
primo, prìmo
probabilmente, probabilménte
problema, problèma
programma, progràmma
pronto, prónto
proprio, pròprio
prova, pròva
provare, provàre
provato, provàto
qualche, quàlche
qualcosa, qualcòsa
qualcuno, qualcùno
quale, quàle
qualsiasi, qualsìasi
qualunque, qualùnque
quando, quàndo
quanto, quànto
quasi, quàsi
quattro, quàttro
quelli, quélli
quello, quéllo
questa, quésta
questo, quésto
quindi, quìndi
radio, ràdio
ragazza, ragàzza
ragazzo, ragàzzo
ragione, ragióne
rapporto, rappòrto
realtà, realtà
resta, rèsta
restare, restàre
resto, rèsto
ricordo, ricòrdo
rispetto, rispètto
risposta, rispósta
ritardo, ritàrdo
roba, ròba
sacco, sàcco
sala, sàla
salute, salùte
sangue, sàngue
santo, sànto
saputo, sapùto
sarai, sarài
sbagliato, sbagliàto
scelta, scélta
scena, scèna
scoperto, scopèrto
scritto, scrìtto
scuola, scuòla
scusa, scùsa
secondo, secóndo
segreto, segréto
semplice, sémplice
sempre, sèmpre
senso, sènso
sentito, sentìto
senza, sènza
sera, séra
serio, sèrio
servizio, servìzio
sette, sètte
settimana, settimàna
sia, sìa
sicura, sicùra
sicurezza, sicurézza
sicuro, sicùro
signora, signóra
signore, signóre
signorina, signorìna
silenzio, silènzio
sinistra, sinìstra
situazione, situazióne
sogno, sógno
sole, sóle
solito, sòlito
solo, sólo
soltanto, soltànto
sono, sòno
sorella, sorèlla
sorpresa, sorprésa
speciale, speciàle
specie, spècie
squadra, squàdra
stanno, stànno
stanza, stànza
stasera, staséra
stato, stàto
stesso, stésso
stia, stìa
storia, stòria
strada, stràda
strano, stràno
stronzo, strónzo
stupido, stùpido
subito, sùbito
sui, sùi
sulla, sùlla
sulle, sùlle
suo, sùo
tanto, tànto
tardi, tàrdi
telefono, telèfono
tenente, tenènte
terra, tèrra
terribile, terrìbile
tesoro, tesòro
testa, tèsta
tipo, tìpo
tornare, tornàre
tornato, tornàto
torno, tórno
tratta, tràtta
treno, trèno
troppo, tròppo
trovare, trovàre
trovo, tròvo
tuo, tùo
tutti, tùtti
tutto, tùtto
uccidere, uccìdere
ucciso, uccìso
ufficio, uffìcio
ultima, ùltima
ultimo, ùltimo
una, ùna
unica, ùnica
unico, ùnico
uno, ùno
uomo, uòmo
uscire, uscìre
vecchia, vècchia
vecchio, vècchio
venite, venìte
venuta, venùta
venuto, venùto
vera, véra
veramente, veraménte
verità, verità
vero, véro
verso, vèrso
vestito, vestìto
via, vìa
viaggio, viàggio
vicino, vicìno
vista, vìsta
